EAN_TEXT,Brand,Item Name,Variant,Estado,DHL
MAT281019,,,,Insumos,2842
MAT281020,,,,Insumos,2210
MAT281021,,,,Insumos,3240
REP0001,,,,Repuestos,2
REP0002,,,,Repuestos,2
REP0003,,,,Repuestos,2
REP0004,,,,Repuestos,4
REP0005,,,,Repuestos,1
REP0006,,,,Repuestos,2
REP0007,,,,Repuestos,4
REP0008,,,,Repuestos,2
REP0009,,,,Repuestos,2
REP0010,,,,Repuestos,2
REP0011,,,,Repuestos,1
REP0012,,,,Repuestos,1
REP0013,,,,Repuestos,4
REP0014,,,,Repuestos,2
REP0015,,,,Repuestos,2
REP0016,,,,Repuestos,1
REP0017,,,,Repuestos,3
REP0018,,,,Repuestos,2
REP0019,,,,Repuestos,3
REP0020,,,,Repuestos,3
REP0021,,,,Repuestos,1
REP0022,,,,Repuestos,2
REP0023,,,,Repuestos,3
REP0024,,,,Repuestos,1
REP0025,,,,Repuestos,2
REP0026,,,,Repuestos,2
REP0027,,,,Repuestos,2
REP0028,,,,Repuestos,1
REP0029,,,,Repuestos,2
REP0030,,,,Repuestos,2
REP0031,,,,Repuestos,2
REP0032,,,,Repuestos,2
REP0033,,,,Repuestos,2
REP0034,,,,Repuestos,1
REP0035,,,,Repuestos,2
REP0036,,,,Repuestos,2
EAN07500764001587,Urban Design,Silla Tipo Eames Tulip Asiento Acolchado Comedor Sala,Blanco,Pend. Maquila,1255
EAN07500764001594,Urban Design,Silla Tipo Eames Tulip Asiento Acolchado Comedor Sala,Gris,Pend. Maquila,146
EAN07500764002959,Travel Elite,Set 4 Maletas Viaje Rigidas Tour Abs 4 Ruedas,Azul Recto,Pend. Maquila,228
EAN07500764002966,Travel Elite,Set 4 Maletas Viaje Rigidas Tour Abs 4 Ruedas,Negro Lineas Horizontales,Pend. Maquila,436
EAN07500764002973,Travel Elite,Set 4 Maletas Viaje Rigidas Tour Abs 4 Ruedas,Gris Lineas Horizontales,Pend. Maquila,16
EAN07502308500396,Travel Elite,Juego Set 4 Maletas Nomad Rigidas Viaje 4 Ruedas ABS Negro,Negro,Pend. Maquila,112
EAN07502308500402,Travel Elite,Juego Set 4 Maletas Nomad Rigidas Viaje 4 Ruedas ABS Azul,Azul,Pend. Maquila,145
EAN07502308500419,Travel Elite,Juego Set 4 Maletas Nomad Rigidas Viaje 4 Ruedas ABS Gris,Gris,Pend. Maquila,83
EAN07502308500426,Travel Elite,Juego Set 4 Maletas Nomad Rigidas Viaje 4 Ruedas ABS Rojo,Rojo,Pend. Maquila,85
EAN07502308502512,Travel Elite,Set 3 maletas rígidas Travel Elite Azul Travel Elite,Azul,Pend. Maquila,299
EAN07502308502536,Travel Elite,Set 3 maletas rígidas Travel Elite Negro Travel Elite,Negro,Pend. Maquila,850
EAN07589111835211,Urban Design,Silla Tipo Eames Tulip Asiento Acolchado Comedor Sala,Negro,Pend. Maquila,1156
EAN07591542831793,Urban Design,Silla Eames Moderna Patas En Madera Para Comedor - Sala,Gris,Pend. Maquila,3477
EAN07752542831804,Urban Design,Silla Eames Moderna Patas En Madera Para Comedor - Sala,Blanco,Pend. Maquila,5206
EAN07752542831835,Urban Design,Silla Eames Moderna Patas En Madera Para Comedor - Sala,Rojo,Pend. Maquila,177
EAN75002308502529,,,,Pend. Maquila,224
